time, Quad.IMU.AX
5.564779,-0.020619
5.569779,-0.204937
5.574779,-0.287088
5.579778,-0.510686
5.584778,-0.492437
5.589777,-0.570615
5.594777,0.171687
5.599777,0.063547
5.604776,-0.042008
5.609776,-0.289024
5.614776,-0.030912
5.619775,-1.226522
5.624775,-0.074797
5.629775,-0.314088
5.634774,0.068483
5.639774,-0.062467
5.644773,0.036506
5.649773,-0.581498
5.654773,0.355485
5.659772,0.165391
5.664772,-0.170672
5.669772,-0.747403
5.674771,0.027377
5.679771,-0.185712
5.684771,1.132715
5.689770,-0.317240
5.694770,0.542326
5.699769,0.486337
5.704769,-0.447147
5.709769,-1.340380
5.714768,0.977644
5.719768,-0.649862
5.724768,0.644500
5.729767,-0.167955
5.734767,-0.091761
5.739767,0.307803
5.744766,-0.656577
5.749766,-0.431415
5.754766,-0.778953
5.759765,0.097635
5.764765,-0.626623
5.769764,-0.487244
5.774764,-0.134078
5.779764,0.311821
5.784763,1.135579
5.789763,-0.641688
5.794763,0.225516
5.799762,-0.019243
5.804762,-0.096156
5.809762,0.301283
5.814761,0.315742
5.819761,-0.618961
5.824760,0.193962
5.829760,0.173942
5.834760,-0.367597
5.839759,0.015680
5.844759,0.319805
5.849759,0.572770
5.854758,0.715053
5.859758,-1.166187
5.864758,0.110875
5.869757,1.366945
5.874757,-0.418505
5.879756,-0.620771
5.884756,0.732102
5.889756,0.279972
5.894755,0.536440
5.899755,0.236973
5.904755,-0.531514
5.909754,0.071852
5.914754,-0.665845
5.919754,0.221199
5.924753,0.365134
5.929753,-0.019207
5.934752,0.323924
5.939752,-0.114105
5.944752,0.125860
5.949751,-0.332072
5.954751,0.248952
5.959751,-0.369738
5.964750,-0.088106
5.969750,-0.115994
5.974750,-0.356701
5.979749,-0.393825
5.984749,-0.031963
5.989748,-0.297403
5.994748,0.293671
5.999748,0.704968
6.004747,0.985513
6.009747,0.870027
6.014747,-1.043998
6.019746,-0.168727
6.024746,0.360054
6.029746,-0.703103
6.034745,-0.107690
6.039745,0.432604
6.044744,0.145335
6.049744,-0.011400
6.054744,-0.262974
6.059743,-0.636963
6.064743,-0.145447
6.069743,0.713581
6.074742,-0.983827
6.079742,-0.535091
6.084742,-1.096750
6.089741,0.471133
6.094741,-0.280019
6.099741,-0.440725
6.104740,-0.114023
6.109740,-0.313107
6.114739,0.632510
6.119739,0.750892
6.124739,-1.144912
6.129738,-0.564175
6.134738,0.648584
6.139738,-0.251868
6.144737,0.155135
6.149737,0.123291
6.154737,-1.232568
6.159736,-1.141981
6.164736,0.320612
6.169735,-0.544986
6.174735,-0.198145
6.179735,0.320918
6.184734,0.331490
6.189734,-1.821663
6.194734,0.124258
6.199733,0.047945
6.204733,0.292834
6.209733,0.232969
6.214732,-0.164746
6.219732,0.389250
6.224731,0.057450
6.229731,0.274111
6.234731,0.205452
6.239730,-0.266339
6.244730,0.802760
6.249730,0.332141
6.254729,0.841255
6.259729,0.173122
6.264729,-0.148776
6.269728,0.081817
6.274728,0.656792
6.279727,0.701947
6.284727,0.293826
6.289727,-0.157338
6.294726,0.403424
6.299726,-0.131208
6.304726,-0.069214
6.309725,-0.295836
6.314725,0.508517
6.319725,-0.466978
6.324724,0.771918
6.329724,-0.091961
6.334723,-0.662427
6.339723,0.275306
6.344723,-0.959080
6.349722,-0.014132
6.354722,-0.148481
6.359722,-0.776372
6.364721,-0.549632
6.369721,-0.236195
6.374721,0.042224
6.379720,-0.239773
6.384720,-0.868001
6.389719,1.019962
6.394719,-0.016462
6.399719,0.013841
6.404718,-0.375667
6.409718,0.017748
6.414718,0.277973
6.419717,-0.211183
6.424717,0.007821
6.429717,-0.031715
6.434716,-0.211078
6.439716,-0.104670
6.444715,0.097000
6.449715,-0.007605
6.454715,-0.625638
6.459714,-0.124676
6.464714,-0.531916
6.469714,-0.013256
6.474713,0.960367
6.479713,0.044423
6.484713,-0.176623
6.489712,0.549798
6.494712,-0.514293
6.499712,-0.179803
6.504711,0.258804
6.509711,0.069995
6.514710,0.227581
6.519710,-0.556572
6.524710,0.135806
6.529709,0.975439
6.534709,0.407737
6.539709,0.033632
6.544708,-0.220595
6.549708,0.184348
6.554708,0.477162
6.559707,-0.148823
6.564707,0.186140
6.569706,-0.505233
6.574706,0.469214
6.579706,0.479987
6.584705,0.065241
6.589705,-0.120397
6.594705,-0.323633
6.599704,-0.116146
6.604704,0.251647
6.609704,-0.274660
6.614703,-0.565154
6.619703,0.502119
6.624702,0.012124
6.629702,-0.324002
6.634702,0.051664
6.639701,0.958448
6.644701,0.367261
6.649701,0.106884
6.654700,-0.333624
6.659700,0.643251
6.664700,-0.576712
6.669699,-0.505785
6.674699,-0.027234
6.679698,0.056684
6.684698,0.687742
6.689698,-0.342489
6.694697,0.193711
6.699697,0.787166
6.704697,0.724198
6.709696,-0.105168
6.714696,-0.026761
6.719696,-0.152067
6.724695,0.230137
6.729695,0.861934
6.734694,0.207086
6.739694,-0.090549
6.744694,-0.344954
6.749693,1.026598
6.754693,-0.271598
6.759693,-0.236489
6.764692,0.629463
6.769692,-1.073735
6.774692,0.050520
6.779691,0.218240
6.784691,-0.060454
6.789690,0.687222
6.794690,0.000867
6.799690,0.259327
6.804689,-0.415878
6.809689,-0.048233
6.814689,0.319725
6.819688,0.490901
6.824688,0.247512
6.829688,-0.046231
6.834687,-0.895184
6.839687,-0.636579
6.844687,0.799847
6.849686,0.229078
6.854686,-0.065597
6.859685,-1.619392
6.864685,0.280374
6.869685,-1.046538
6.874684,0.378788
6.879684,-0.671127
6.884684,-0.835642
6.889683,-0.022404
6.894683,-1.013069
6.899683,0.314238
6.904682,-0.326650
6.909682,0.059910
6.914681,-0.327308
6.919681,-0.577960
6.924681,-0.283847
6.929680,0.267168
6.934680,0.019065
6.939680,0.440360
6.944679,0.512251
6.949679,-0.192757
6.954679,0.246809
6.959678,-0.093378
6.964678,0.549619
